step,hv,diffToOptimal
13,0.2428574829745762,0.2593587439589671
26,0.4429418248467637,0.05927440208677959
66,0.4454833727887601,0.056732854144783185
133,0.4562782829193447,0.045937944014198595
266,0.46119469878468705,0.041021528148856234
666,0.47528198451288595,0.02693424242065734
1333,0.4850195506466176,0.017196676286925672
2666,0.49500902171131667,0.00720720522222662
4000,0.49875987816674133,0.0034563487668019532
5333,0.4997799314141836,0.002436295519359699
6666,0.5004411993243434,0.0017750276091998973
8000,0.5009086262096502,0.001307600723893132
9333,0.5013529758037726,0.0008632511297707035
10666,0.5015810950466032,0.0006351318869400879
12000,0.5017065576007205,0.0005096693328228152
13333,0.501805474014496,0.00041075291904724143
14666,0.501922197091653,0.0002940298418903087
16000,0.5019830529306891,0.000233174002854164
17333,0.50208275416274,0.00013347277080333342
18666,0.5021326523103661,8.357462317720721e-05
20000,0.5021389518554854,7.727507805788125e-05
21333,0.5021401104180955,7.61165154478105e-05
22666,0.5021731148243067,4.3112109236576046e-05
24000,0.5021853568706189,3.0870062924348574e-05
25100,0.5021934195368745,2.2807396668822477e-05
