step,igd
14,2.289554812399114
27,1.8010102510836279
67,1.2252917690040352
134,0.7043314564319542
267,0.36208367790809043
667,0.4250204067864083
1334,0.1528483157054482
2667,0.50088983862828
4000,0.5021664406185977
5334,0.16091879716779786
6667,0.0018694628934500883
8000,0.001299569360833675
9334,0.0017406733540226806
10667,0.001203595335662693
12000,0.22033894288690756
13334,0.049039947125294844
14667,0.12903777919913004
16000,0.000858753651574109
17334,0.0010970912836903764
18667,0.0010905016291710024
20000,0.0012396091908254277
21334,0.005961956680729487
22667,0.0009811025611589246
24000,0.001266955025047461
25100,0.016252576576631084
