step,igd
14,1.965524524581445
27,0.5000045986848766
67,0.31880224327348017
134,0.04699004486609074
267,0.003995504484556506
667,0.0014767628297078091
1334,0.001429295925492266
2667,0.011758986552046642
4000,0.14885258535837892
5334,0.00961464801835831
6667,0.0008975493390978896
8000,0.0008882627331854276
9334,0.0018351855172991794
10667,0.0010128241904875123
12000,0.0008386650569516091
13334,0.0008816112366983027
14667,0.0007723589301416045
16000,0.0008091050353334777
17334,0.0008877112927485561
18667,0.0009699944696285484
20000,0.0009211162912059975
21334,0.0009777928473765122
22667,0.0008362134871500517
24000,0.0010702220215658682
25100,0.000902136274358607
