step,igd
1333,0.008617174090704697
2666,0.003609169730680409
3999,0.0037629230129871327
5332,0.003163064622882067
6665,0.003599505987130015
7998,0.003260725030951261
9331,0.042986678726139954
10664,0.0036132116108193025
11997,0.0032537388844586035
13330,0.0029522597081876496
14663,0.003299206872689175
15996,0.003934417186446929
17329,0.0034326198494384497
18662,0.00361613087510831
19995,0.0038979253298322574
21328,0.00300595080946868
22661,0.00419376427150931
23994,0.0028483736466018766
25327,0.00808573828478314
26660,0.003389065092093438
