step,hv,diffToOptimal,predHV,predDiff
14,0.4169342698276646,0.5046396128686184,0.5889884142823851,0.3325854684138978
27,0.8823796757290343,0.039194206967248624,1.0,-0.07842611730371707
67,0.8865556481369699,0.03501823455931308,0.86371899900204,0.057854883694242965
134,0.912936444881829,0.008637437814453919,0.8477739851689113,0.0737998975273716
267,0.9206875809525721,0.0008863017437108489,0.8323058985490828,0.08926798414720016
667,0.9211861904653055,0.0003876922309774544,0.8891901860586136,0.03238369663766938
1334,0.9212103399520452,0.000363542744237777,0.8986480045108471,0.02292587818543579
2667,0.9191909348850403,0.0023829478112425972,0.8962563560330711,0.025317526663211853
4000,0.8994833258903853,0.022090556805897665,0.8926934570164009,0.028880425679882027
5334,0.9195826123828816,0.0019912703134012943,0.905849001245994,0.01572488145028894
6667,0.9213479036131462,0.000225979083136707,0.9096637324551974,0.011910150241085549
8000,0.9213930873579725,0.00018079533831039107,0.91939566085375,0.0021782218425329125
9334,0.9212032643600901,0.00037061833619278506,0.9182118909519331,0.0033619917443498126
10667,0.9213538036143042,0.00022007908197874126,0.9196714244426195,0.0019024582536634194
12000,0.921390623005908,0.00018325969037491507,0.919851544740604,0.0017223379556788876
13334,0.9213491271349883,0.0002247555612946428,0.9205241142383372,0.0010497684579456878
14667,0.9214173189943798,0.00015656370190308966,0.9217105966033049,-0.00013671390702196806
16000,0.9213893534885469,0.00018452920773603942,0.9182851898468312,0.0032886928494517687
17334,0.9213723296819767,0.00020155301430624384,0.9210446009441978,0.000529281752085109
18667,0.9213461967508149,0.0002276859454680702,0.9204507704591667,0.0011231122371162527
20000,0.921380334849294,0.00019354784698888405,0.9210898523764746,0.00048403031980837063
21334,0.9213360139953481,0.00023786870093478463,0.9219470101209175,-0.0003731274246345784
22667,0.921397919282785,0.0001759634134979038,0.9200794642389342,0.0014944184573487673
24000,0.9213457006099371,0.00022818208634578507,0.9210206642852414,0.0005532184110415006
25100,0.9213624205737153,0.00021146212256761832,0.9213157640447114,0.00025811865157154834
