step,igd
14,10.491075128929934
27,8.125073679223073
67,0.5006813649243385
134,0.37870197095233493
267,0.4450989080485223
667,1.7419001101308624
1334,0.35946326903912335
2667,0.5000421727264674
4000,4.747021896389464
5334,4.83885781833879
6667,2.85001788733695
8000,0.5034792460931902
9334,1.4172417487982787
10667,3.777409886375837
12000,6.0496007618792
13334,4.4816708722394765
14667,4.469041046780735
16000,2.435602381669732
17334,3.3066377968798495
18667,0.5002420468609106
20000,5.416416528667383
21334,3.7668849526626564
22667,0.5082719537256114
24000,0.500104112776387
25334,4.630921021301943
26667,0.5003579628467301
26700,4.382464144367568
