step,hv,diffToOptimal,predHV,predDiff
1333,0.5023040175065797,0.0014220564129908686,0.5009799985760655,0.0027460753435051277
2666,0.5029676274464865,0.0007584464730840956,0.5050007286377434,-0.0012746547181727852
3999,0.5031896757058381,0.0005363982137325252,0.5025794027142191,0.0011466712053515016
5332,0.5033015393101019,0.00042453460946867416,0.504159369676636,-0.00043329575706541057
6665,0.5015684148271764,0.002157659092394182,0.503340818755846,0.0003852551637245627
7998,0.5032528267054075,0.00047324721416308613,0.5041422828551465,-0.00041620893557592353
9331,0.501396573059908,0.0023295008596625477,0.502900425459742,0.0008256484598285763
10664,0.5032258450645793,0.0005002288549912359,0.5046033075730767,-0.0008772336535061154
11997,0.501432685385571,0.0022933885339996296,0.5071008608314023,-0.0033747869118316842
13330,0.5030426792737553,0.0006833946458152385,0.5121740452969784,-0.008447971377407826
14663,0.4982330825912641,0.005492991328306496,0.5125373472807664,-0.008811273361195804
15996,0.4834810410785636,0.020245032841006982,0.512950134393656,-0.009224060474085416
17329,0.5015520494716459,0.002174024447924694,0.5128061130939136,-0.009080039174342969
18662,0.4780734339835127,0.025652639936057875,0.5147468773687985,-0.011020803449227956
19995,0.5010337019836973,0.002692371935873239,0.5018868283368094,0.001839245582761162
21328,0.5009005312933033,0.00282554262626733,0.5006326907241387,0.0030933831954318425
22661,0.5014982942954921,0.0022277796240784964,0.5014752011020697,0.002250872817500915
23994,0.5004934958008423,0.0032325781187282354,0.5016237029993363,0.002102370920234242
25327,0.5012886601043542,0.0024374138152163383,0.5026992228635331,0.0010268510560375033
26660,0.5016322302726333,0.002093843646937321,0.5024426704068622,0.001283403512708392
