step,igd
13,1.1494466899433597
26,1.1494466899433597
66,1.118864434596676
133,0.8994391497447509
266,0.8533504571102
666,0.7225086634663243
1333,0.45833041205808756
2666,0.4291350526377794
4000,0.4235456624142543
5333,0.4227169598963853
6666,0.4225379301287154
8000,0.38194227601008124
9333,0.26475399586689347
10666,0.3082395250471838
12000,0.253140866857735
13333,0.2704873548712284
14666,0.25481904791967563
16000,0.25725039585311676
17333,0.29011895659242204
18666,0.2853518743019991
20000,0.2972654192281704
21333,0.26761281616516835
22666,0.2688733695583809
24000,0.2651231544174377
25100,0.25253377380284375
