step,hv,diffToOptimal
13,0.01818915405974892,0.92235065348978
26,0.05904012573801577,0.8814996818115132
66,0.07479454964863172,0.8657452579008972
133,0.17956321460121205,0.7609765929483169
266,0.1963649883289127,0.7441748192206162
666,0.31240001296405084,0.6281397945854781
1333,0.4325353245365105,0.5080044830130184
2666,0.5967295310101713,0.3438102765393576
4000,0.703406579344544,0.23713322820498495
5333,0.7855971060508935,0.15494270149863543
6666,0.8324719657310438,0.10806784181848517
8000,0.8690345482703682,0.07150525927916074
9333,0.8919369142680346,0.048602893281494364
10666,0.909698641067551,0.030841166481977877
12000,0.9193146527822247,0.021225154767304244
13333,0.9263401246477572,0.01419968290177176
14666,0.9301620869742394,0.010377720575289517
16000,0.9328868046194579,0.0076530029300709845
17333,0.9348055930149208,0.005734214534608095
18666,0.9362368684266662,0.004302939122862726
20000,0.9373712150256125,0.003168592523916436
21333,0.9380555768837914,0.0024842306657375524
22666,0.9385618709484763,0.00197793660105261
24000,0.9389903419917736,0.0015494655577553695
25100,0.9392428539735479,0.0012969535759810302
