step,igd
1333,0.0029275939417393146
2666,0.038319324132591634
3999,0.04615985544753331
5332,0.052515942327183526
6665,0.01947074128225623
7998,0.01929485466067179
9331,0.021417315948431753
10664,0.033336740077528175
11997,0.0399436381974264
13330,0.027407770649115166
14663,0.02495393027219808
15996,0.0247905890752168
17329,0.019035637730382284
18662,0.016738209060034984
19995,0.017254991756615164
21328,0.01589548508219428
22661,0.01657508695030964
23994,0.01443020873441234
25327,0.012466357986535491
26660,0.014913531288896994
