step,igd
14,1.7499242992694417
27,1.2467072915220807
67,0.9194102173335484
134,0.13437986156633167
267,0.2843407440455284
667,0.003829970970304335
1334,0.0011837411745272937
2667,0.0018670269153466023
4000,0.0011393849647181311
5334,0.0012229541740457874
6667,0.0009643164520546381
8000,0.0010463328236720176
9334,0.000991316170764004
10667,0.0009919997106566988
12000,0.0016253273053971821
13334,0.0007367410089709543
14667,0.0012585236221526362
16000,0.001128522795877795
17334,0.0006312024394286488
18667,0.000764594480774213
20000,0.001090686151914103
21334,0.0013476583428025798
22667,0.0009921115249219735
24000,0.0008193495593284879
25100,0.0012990335724946908
