step,igd
14,1.1599480034495726
27,0.3205648009858381
67,0.6044031617663753
134,0.4310413768337763
267,0.31039424872684257
667,0.21593552294015017
1334,0.04112982917488216
2667,0.004238028126078216
4000,0.0014694030700258681
5334,0.0011945236986392036
6667,0.000793695072506775
8000,0.0006953968798218698
9334,0.000823555166308707
10667,0.0008475087951722788
12000,0.0006250442396140761
13334,0.001566974832268832
14667,0.0006173616265609613
16000,0.0008484533901166748
17334,0.00045032325674471157
18667,0.0007601279223423091
20000,0.0007695001918215233
21334,0.0009343470034510403
22667,0.0006901949457724395
24000,0.0009593575907517825
25100,0.0007898158029171011
