step,igd
1333,0.022611446305314892
2666,0.03692870018185898
3999,0.03572804658399498
5332,0.025391144617894094
6665,0.039998174826470535
7998,0.02730727293097569
9331,0.030177068789155638
10664,0.03677932542237769
11997,0.0340290379110628
13330,0.0183905360307628
14663,0.03122239476617716
15996,0.038308180848027874
17329,0.037451987084885126
18662,0.03789827523672765
19995,0.0064188143154706645
21328,0.027498040615015512
22661,0.005003026330801704
23994,0.033979419054940604
25327,0.034356047822060275
26660,0.02984526632747743
