step,hv,diffToOptimal,predHV,predDiff
14,0.0,0.9428803082801784,0.0,0.9428803082801784
27,0.9360880276660631,0.006792280614115298,0.16096377202166734,0.7819165362585111
67,0.9351615169997005,0.007718791280477921,0.18921763102963127,0.7536626772505471
134,0.9414403285948402,0.0014399796853382663,0.24780187032477552,0.6950784379554029
267,0.938936497048467,0.003943811231711392,0.4064520620109956,0.5364282462691828
667,0.8991638006725968,0.04371650760758161,0.5874330666661458,0.3554472416140326
1334,0.9384322287448978,0.004448079535280591,0.8080746138051956,0.1348056944749828
2667,0.9369265427141952,0.00595376556598326,0.8938669298021554,0.049013378478023006
4000,0.9389851666734457,0.003895141606732766,0.914820254820457,0.0280600534597214
5334,0.9366787609650817,0.0062015473150967,0.932486837174068,0.010393471106110441
6667,0.9394653894996586,0.0034149187805198045,0.9349650984323018,0.007915209847876636
8000,0.9363831467982109,0.0064971614819675505,0.9340529203211785,0.008827387958999955
9334,0.9385840507931521,0.004296257487026334,0.9366434165339281,0.006236891746250306
10667,0.932949061404588,0.009931246875590438,0.941264162997753,0.0016161452824254852
12000,0.9355172137590647,0.007363094521113722,0.947753887462316,-0.0048735791821375996
13334,0.9343470167596738,0.008533291520504638,0.9401484620167744,0.0027318462634040586
14667,0.9379260043214599,0.004954303958718542,0.9394050217090993,0.0034752865710790948
16000,0.9289516787576572,0.013928629522521274,0.9414119764329819,0.0014683318471965245
17334,0.9363473128384416,0.0065329954417368,0.9414511728897291,0.0014291353904493098
18667,0.9401043305509498,0.0027759777292286625,0.9388674529060733,0.004012855374105118
20000,0.9395448786076313,0.0033354296725471855,0.940344831714656,0.002535476565522443
21334,0.9404536979707352,0.0024266103094432445,0.9437032356639251,-0.0008229273837466744
22667,0.9310145431376322,0.011865765142546225,0.9434210121283748,-0.0005407038481963777
24000,0.9199252853620745,0.022955022918103918,0.943068849013263,-0.00018854073308460784
25334,0.93144449739015,0.01143581089002843,0.9407165409876328,0.0021637672925456375
26667,0.9368226223526495,0.006057685927528977,0.9441714706384858,-0.0012911623583073961
26700,0.9357836619601354,0.007096646320043032,0.9434587312736391,-0.0005784229934606699
