step,igd
13,0.20982665537267076
26,0.1812907250244346
66,0.11752865854913659
133,0.19206832433506874
266,0.13013759777605413
666,0.35455448341044205
1333,0.16606795755569703
2666,0.17673024018697178
4000,0.0991254647385751
5333,0.08544827170005495
6666,0.08491880719616551
8000,0.0848975277581795
9333,0.08485091740431666
10666,0.08461329490816782
12000,0.08468751358760322
13333,0.08461368566312763
14666,0.08434286621839386
16000,0.08432951539393659
17333,0.08365754769395006
18666,0.083655290305537
20000,0.08365053442992354
21333,0.08364253595622707
22666,0.08363791918298008
24000,0.08363111237073129
25333,0.08362223429931827
26666,0.08354132742447251
26700,0.08354154249414356
