step,igd
14,0.03954358917429225
27,0.05605004787187005
67,0.030934942512631722
134,0.4026797734929637
267,0.14563162548534717
667,0.422329431723336
1334,0.05310069984969442
2667,0.10260813671778969
4000,0.10863947255158271
5334,0.10741780907472971
6667,0.11685170639980333
8000,0.1442610460792772
9334,0.14608169165271329
10667,0.11108126912693103
12000,0.15989448379698584
13334,0.12025703088322018
14667,0.1207640940559428
16000,0.04829757078417025
17334,0.11928256471221489
18667,0.10472162270319418
20000,0.10477222276419151
21334,0.10726926615877333
22667,0.11701887690787781
24000,0.1087704668661365
25334,0.11043281070054764
26667,0.04115898200491239
26700,0.11014689236575932
