step,igd
14,0.4999978873675251
27,0.04081022774262684
67,0.011027020790087662
134,0.2172872082732367
267,0.15266342048882584
667,0.19447530265590507
1334,0.28794229890686845
2667,0.1888997131236995
4000,0.1836907175316582
5334,0.19760041529234018
6667,0.1962245469762641
8000,0.20021016883051876
9334,0.1964038975033426
10667,0.19742505210093253
12000,0.1887985229200774
13334,0.19585828178185485
14667,0.19782054998517978
16000,0.1823618812406651
17334,0.19459527813749336
18667,0.3918428029411379
20000,0.16935082387266642
21334,0.1731022589475281
22667,0.18153161730345801
24000,0.18251134496220375
25334,0.2880652304878071
26667,0.19324740574113594
26700,0.17635989388968132
