step,igd
1333,0.39909462869984647
2666,0.40993316456205575
3999,0.40319437186647944
5332,0.4003836817622012
6665,0.3533555304389562
7998,0.4047404798389115
9331,0.6796175932312435
10664,0.8026842405880987
11997,0.3615398032536674
13330,0.7394065665428775
14663,0.4133007589958706
15996,0.27096202625107885
17329,0.5569068576090216
18662,0.48366829050228843
19995,1.1220039264352069
21328,0.433784267713705
22661,0.5118627710547309
23994,1.121235583558845
25327,0.602427409563637
26660,0.21992647065439308
